LocationAbbr,LocationDesc,MortalityPer100k
AL,St. Clair County,526
AL,Shelby County,379.7
AL,Sumter County,566.7
AL,Talladega County,545.5
AL,Tallapoosa County,537.8
AL,Tuscaloosa County,459.3
AL,Walker County,451.9
AL,Washington County,523.2
AL,Wilcox County,863
AL,Winston County,568.4
AL,Autauga County,655.9
AL,Baldwin County,606.3
AL,Barbour County,710.2
AL,Bibb County,620.8
AL,Blount County,593.7
AL,Bullock County,558.7
AL,Butler County,659.6
AL,Calhoun County,749.5
AL,Chambers County,777.2
AL,Cherokee County,719.8
AL,Chilton County,699.6
AL,Choctaw County,726.6
AL,Clarke County,687.9
AL,Clay County,669.6
AL,Cleburne County,755.5
AL,Coffee County,570.8
AL,Colbert County,554.9
AL,Conecuh County,664.5
AL,Coosa County,596.6
AL,Covington County,582.4
AL,Crenshaw County,527
AL,Cullman County,742.9
AL,Dale County,669.5
AL,Dallas County,752.5
AL,DeKalb County,737
AL,Elmore County,656
AL,Escambia County,626.3
AL,Etowah County,765.9
AL,Fayette County,597.2
AL,Franklin County,530.1
AL,Geneva County,481.1
AL,Greene County,693.7
AL,Hale County,724.7
AL,Henry County,637.2
AL,Houston County,492.9
AL,Jackson County,549
AL,Jefferson County,557.2
AL,Lamar County,485.4
AL,Lauderdale County,641.7
AL,Lawrence County,602.1
AL,Lee County,558.2
AL,Limestone County,562.7
AL,Lowndes County,530.4
AL,Macon County,747.9
AL,Madison County,524.4
AL,Marengo County,762.4
AL,Marion County,655
AL,Marshall County,642.8
AL,Mobile County,613.7
AL,Monroe County,669
AL,Montgomery County,505.6
AL,Morgan County,626.8
AL,Perry County,758.5
AL,Pickens County,583.5
AL,Pike County,542.7
AL,Randolph County,868
AL,Russell County,398.4
AL,St. Clair County,679.2
AL,Shelby County,481.7
AL,Sumter County,700.1
AL,Talladega County,621.6
AL,Tallapoosa County,686.9
AL,Tuscaloosa County,614.1
AL,Walker County,587.7
AL,Washington County,640.8
AL,Wilcox County,877.3
AL,Winston County,668.7
AL,Autauga County,385.7
AL,Baldwin County,370.3
AL,Barbour County,388.5
AL,Bibb County,354.9
AL,Blount County,366.1
AL,Bullock County,347.9
AL,Butler County,489
AL,Calhoun County,475
AL,Chambers County,430.4
AL,Cherokee County,482.3
AL,Chilton County,501.3
